periods,gen 12875,gen 12876,gen 12877,gen 12878,gen 12879,gen 12880,gen 12881,gen 12882,gen 12883,gen 12884,gen 12885,gen 12886,gen 12893,gen 12896,gen 12897,gen 12898,gen 12899,gen 12910,gen 12911,gen 12912,gen 12913,gen 12914,gen 12918,gen 12919,gen 12922,gen 12925,gen 12926,gen 12927,gen 12928,gen 12929,gen 12933,gen 12934,gen 12935,gen 12936,gen 12937,gen 12947,gen 12948,gen 12949,gen 12950,gen 12951,gen 12952,gen 12953,gen 12954,gen 12958,gen 12959,gen 12960,gen 12961,gen 12962,gen 12963,gen 12964,gen 12965,gen 12966,gen 12967,gen 12968,gen 12969,gen 12970,gen 12971,gen 12972,gen 12973,gen 12974,gen 12975,gen 12976,gen 12979,gen 12980,gen 12981,gen 12982,gen 12983,gen 12984,gen 12985,gen 12986,gen 12987,gen 12988,gen 12992,gen 12993,gen 12994,gen 13000,gen 13025,gen 13034,gen 13035,gen 13040,gen 13041,gen 13042,gen 13043,gen 13054,gen 13055,gen 13056,gen 13079,gen 13080,gen 13084,gen 13085,gen 13116,gen 13161,gen 13162,gen 13163,gen 13164,gen 13165,gen 13166,gen 13237,gen 13238,gen 13239,gen 13240,gen 13308,gen 13309,gen 13310,gen 13311,gen 13312,gen 13313,gen 13384,gen 13405
11.0,52.961,87.85,87.85,3.99,50.074,45.18,62.75,69.778,62.75,37.022,30.597,37.65,30.12,91.77,91.77,35.768,40.286,37.65,28.99,50.2,38.278,34.136,8.024,8.72,14.0,10.0,5.416,10.0,50.351,4.5,2.704,8.0,3.18,2.51,37.65,7.268,11.544,34.538,92.744,37.65,8.0,57.856,8.36,60.491,9.807,9.807,9.807,61.538,61.538,61.538,61.538,20.206,37.65,42.72,50.15,62.499,58.358,43.925,43.674,8.0,50.2,62.75,25.1,31.174,31.174,50.2,30.12,15.8,49.447,33.885,31.752,43.674,25.401,50.2,8.064,8.0,7.2,7.52,11.328,8.04,6.0,8.004,8.12,8.064,10.0,36.9,43.05,30.75,9.0,6.0,6.624,36.34,4.74,36.34,36.34,2.196,6.431,3.531,20.93,20.93,20.93,38.18,49.8,41.5,18.924,4.698,9.396,41.5,12.882
12.0,44.521,73.85,73.85,5.08,42.094,37.98,52.75,58.658,52.75,31.122,25.721,31.65,25.32,116.84,116.84,30.068,33.866,31.65,24.37,42.2,32.178,28.696,2.407,2.616,4.2,3.0,1.625,3.0,42.327,1.35,0.811,2.4,0.954,2.11,31.65,2.18,3.463,29.034,77.964,31.65,2.4,48.636,2.508,50.851,2.942,2.942,2.942,51.731,51.731,51.731,51.731,16.986,31.65,35.912,42.158,52.539,49.058,36.925,36.714,2.4,42.2,52.75,21.1,26.206,26.206,42.2,25.32,20.117,41.567,28.485,26.691,36.714,21.353,42.2,2.419,2.4,2.16,2.256,3.398,2.412,1.8,2.401,2.436,2.419,3.0,30.3,35.35,25.25,2.7,1.8,1.987,34.27,4.47,34.27,34.27,2.071,6.064,5.354,31.74,31.74,31.74,35.65,46.5,38.75,17.67,4.386,8.773,38.75,18.24
13.0,35.237,58.45,58.45,6.28,33.317,30.06,41.75,46.426,41.75,24.632,20.357,25.05,20.04,144.44,144.44,23.798,26.804,25.05,19.289,33.4,25.468,22.712,0.401,0.436,0.7,0.5,0.271,0.5,33.5,0.225,0.135,0.4,0.159,1.67,25.05,0.363,0.577,22.979,61.707,25.05,0.4,38.494,0.418,40.247,0.49,0.49,0.49,40.943,40.943,40.943,40.943,13.444,25.05,28.423,33.367,41.583,38.828,29.225,29.058,0.4,33.4,41.75,16.7,20.741,20.741,33.4,20.04,24.869,32.899,22.545,21.126,29.058,16.9,33.4,0.403,0.4,0.36,0.376,0.566,0.402,0.3,0.4,0.406,0.403,0.5,27.0,31.5,22.5,0.45,0.3,0.331,38.18,4.98,38.18,38.18,2.307,6.756,8.614,51.06,51.06,51.06,41.63,54.3,45.25,20.634,5.122,10.245,45.25,20.406
14.0,24.898,41.3,41.3,6.45,23.541,21.24,29.5,32.804,29.5,17.405,14.384,17.7,14.16,148.35,148.35,16.815,18.939,17.7,13.629,23.6,17.995,16.048,1.003,1.09,1.75,1.25,0.677,1.25,23.671,0.562,0.338,1.0,0.398,1.18,17.7,0.908,1.443,16.237,43.601,17.7,1.0,27.199,1.045,28.438,1.226,1.226,1.226,28.93,28.93,28.93,28.93,9.499,17.7,20.084,23.576,29.382,27.435,20.65,20.532,1.0,23.6,29.5,11.8,14.656,14.656,23.6,14.16,25.542,23.246,15.93,14.927,20.532,11.942,23.6,1.008,1.0,0.9,0.94,1.416,1.005,0.75,1.0,1.015,1.008,1.25,27.0,31.5,22.5,1.125,0.75,0.828,36.8,4.8,36.8,36.8,2.224,6.512,9.428,55.89,55.89,55.89,50.83,66.3,55.25,25.194,6.254,12.509,55.25,17.442
15.0,17.724,29.4,29.4,5.77,16.758,15.12,21.0,23.352,21.0,12.39,10.24,12.6,10.08,132.71,132.71,11.97,13.482,12.6,9.702,16.8,12.81,11.424,4.012,4.36,7.0,5.0,2.708,5.0,16.85,2.25,1.352,4.0,1.59,0.84,12.6,3.634,5.772,11.558,31.038,12.6,4.0,19.362,4.18,20.244,4.903,4.903,4.903,20.594,20.594,20.594,20.594,6.762,12.6,14.297,16.783,20.916,19.53,14.7,14.616,4.0,16.8,21.0,8.4,10.433,10.433,16.8,10.08,22.849,16.548,11.34,10.626,14.616,8.501,16.8,4.032,4.0,3.6,3.76,5.664,4.02,3.0,4.002,4.06,4.032,5.0,23.7,27.65,19.75,4.5,3.0,3.312,30.59,3.99,30.59,30.59,1.849,5.413,8.42,49.91,49.91,49.91,43.7,57.0,47.5,21.66,5.377,10.754,47.5,12.654
16.0,12.871,21.35,21.35,4.52,12.17,10.98,15.25,16.958,15.25,8.998,7.436,9.15,7.32,103.96,103.96,8.692,9.79,9.15,7.046,12.2,9.302,8.296,8.024,8.72,14.0,10.0,5.416,10.0,12.237,4.5,2.704,8.0,3.18,0.61,9.15,7.268,11.544,8.394,22.54,9.15,8.0,14.06,8.36,14.701,9.807,9.807,9.807,14.955,14.955,14.955,14.955,4.91,9.15,10.382,12.188,15.189,14.182,10.675,10.614,8.0,12.2,15.25,6.1,7.576,7.576,12.2,7.32,17.899,12.017,8.235,7.716,10.614,6.173,12.2,8.064,8.0,7.2,7.52,11.328,8.04,6.0,8.004,8.12,8.064,10.0,20.7,24.15,17.25,9.0,6.0,6.624,18.4,2.4,18.4,18.4,1.112,3.256,5.471,32.43,32.43,32.43,27.83,36.3,30.25,13.794,3.424,6.849,30.25,8.436
17.0,10.761,17.85,17.85,2.49,10.174,9.18,12.75,14.178,12.75,7.522,6.217,7.65,6.12,57.27,57.27,7.267,8.185,7.65,5.89,10.2,7.778,6.936,10.231,11.118,17.85,12.75,6.905,12.75,10.231,5.738,3.448,10.2,4.054,0.51,7.65,9.267,14.719,7.018,18.844,7.65,10.2,11.756,10.659,12.291,12.504,12.504,12.504,12.504,12.504,12.504,12.504,4.106,7.65,8.68,10.19,12.699,11.858,8.925,8.874,10.2,10.2,12.75,5.1,6.334,6.334,10.2,6.12,9.86,10.047,6.885,6.451,8.874,5.161,10.2,10.282,10.2,9.18,9.588,14.443,10.251,7.65,10.205,10.353,10.282,12.75,18.3,21.35,15.25,11.475,7.65,8.446,6.21,0.81,6.21,6.21,0.375,1.099,2.095,12.42,12.42,12.42,11.04,14.4,12.0,5.472,1.358,2.717,12.0,2.736
18.0,11.816,19.6,19.6,0.29,11.172,10.08,14.0,15.568,14.0,8.26,6.826,8.4,6.72,6.67,6.67,7.98,8.988,8.4,6.468,11.2,8.54,7.616,12.036,13.08,21.0,15.0,8.124,15.0,11.234,6.75,4.056,12.0,4.77,0.56,8.4,10.902,17.316,7.706,20.692,8.4,12.0,12.908,12.54,13.496,14.71,14.71,14.71,13.73,13.73,13.73,13.73,4.508,8.4,9.531,11.189,13.944,13.02,9.8,9.744,12.0,11.2,14.0,5.6,6.955,6.955,11.2,6.72,1.148,11.032,7.56,7.084,9.744,5.667,11.2,12.096,12.0,10.8,11.28,16.992,12.06,9.0,12.006,12.18,12.096,15.0,21.6,25.2,18.0,13.5,9.0,9.936,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.23,0.23,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,11.394,18.9,18.9,0.0,10.773,9.72,13.5,15.012,13.5,7.965,6.583,8.1,6.48,0.0,0.0,7.695,8.667,8.1,6.237,10.8,8.235,7.344,19.859,21.582,34.65,24.75,13.405,24.75,10.832,11.138,6.692,19.8,7.871,0.54,8.1,17.988,28.571,7.43,19.953,8.1,19.8,12.447,20.691,13.014,24.272,24.272,24.272,13.239,13.239,13.239,13.239,4.347,8.1,9.191,10.789,13.446,12.555,9.45,9.396,19.8,10.8,13.5,5.4,6.707,6.707,10.8,6.48,0.0,10.638,7.29,6.831,9.396,5.465,10.8,19.958,19.8,17.82,18.612,28.037,19.899,14.85,19.81,20.097,19.958,24.75,21.6,25.2,18.0,22.275,14.85,16.394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,4.853,8.05,8.05,0.0,4.588,4.14,5.75,6.394,5.75,3.392,2.804,3.45,2.76,0.0,0.0,3.278,3.692,3.45,2.656,4.6,3.508,3.128,35.707,38.804,62.3,44.5,24.101,44.5,4.614,20.025,12.033,35.6,14.151,0.23,3.45,32.343,51.371,3.165,8.498,3.45,35.6,5.302,37.202,5.543,43.64,43.64,43.64,5.639,5.639,5.639,5.639,1.852,3.45,3.915,4.595,5.727,5.348,4.025,4.002,35.6,4.6,5.75,2.3,2.857,2.857,4.6,2.76,0.0,4.531,3.105,2.91,4.002,2.328,4.6,35.885,35.6,32.04,33.464,50.41,35.778,26.7,35.618,36.134,35.885,44.5,13.8,16.1,11.5,40.05,26.7,29.477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,1.055,1.75,1.75,0.0,0.998,0.9,1.25,1.39,1.25,0.738,0.61,0.75,0.6,0.0,0.0,0.712,0.802,0.75,0.578,1.0,0.763,0.68,58.776,63.874,102.55,73.25,39.672,73.25,1.003,32.962,19.807,58.6,23.293,0.05,0.75,53.238,84.56,0.688,1.848,0.75,58.6,1.152,61.237,1.205,71.835,71.835,71.835,1.226,1.226,1.226,1.226,0.402,0.75,0.851,0.999,1.245,1.162,0.875,0.87,58.6,1.0,1.25,0.5,0.621,0.621,1.0,0.6,0.0,0.985,0.675,0.633,0.87,0.506,1.0,59.069,58.6,52.74,55.084,82.978,58.893,43.95,58.629,59.479,59.069,73.25,9.0,10.5,7.5,65.925,43.95,48.521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.633,1.05,1.05,0.0,0.598,0.54,0.75,0.834,0.75,0.442,0.366,0.45,0.36,0.0,0.0,0.428,0.482,0.45,0.347,0.6,0.458,0.408,79.237,86.11,138.25,98.75,53.483,98.75,0.602,44.438,26.702,79.0,31.402,0.03,0.45,71.772,113.997,0.413,1.108,0.45,79.0,0.692,82.555,0.723,96.842,96.842,96.842,0.736,0.736,0.736,0.736,0.242,0.45,0.511,0.599,0.747,0.698,0.525,0.522,79.0,0.6,0.75,0.3,0.373,0.373,0.6,0.36,0.0,0.591,0.405,0.38,0.522,0.304,0.6,79.632,79.0,71.1,74.26,111.864,79.395,59.25,79.04,80.185,79.632,98.75,11.7,13.65,9.75,88.875,59.25,65.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.483,102.678,164.85,117.75,63.773,117.75,0.0,52.988,31.84,94.2,37.444,0.0,0.0,85.581,135.931,0.0,0.0,0.0,94.2,0.0,98.439,0.0,115.475,115.475,115.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.954,94.2,84.78,88.548,133.387,94.671,70.65,94.247,95.613,94.954,117.75,17.7,20.65,14.75,105.975,70.65,77.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.914,114.014,183.05,130.75,70.814,130.75,0.0,58.838,35.355,104.6,41.578,0.0,0.0,95.029,150.938,0.0,0.0,0.0,104.6,0.0,109.307,0.0,128.224,128.224,128.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.437,104.6,94.14,98.324,148.114,105.123,78.45,104.652,106.169,105.437,130.75,18.3,21.35,15.25,117.675,78.45,86.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
