order,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
10,1161.956,145.158,60.676,0.0,238.05,325.726,129.935,650.771,88.283,15.263,902.921,4365.885,398.19100000000003,94.629,518.199,425.85,12.749,167.53,232.57500000000002,95.728,1503.652,519.377,583.048,70.78099999999999,115.823,374.676,477.07,186.051,105.392,139.074,110.459,0.0,432.768,145.36100000000002,506.367,693.35,268.245,128.573,605.068,226.378,142.389,248.738,725.246,641.731,632.586,305.872,310.509,393.284,211.434,528.66,568.072,428.601,214.736,876.276,162.026,164.541,1027.478,118.368,744.494,433.24899999999997,463.992,29.122,442.726,217.03900000000002,195.193,140.595,425.778,0.0,512.932,520.441,161.936,504.954,388.282,571.433,71.379,1006.745,728.475,361.568,285.222,420.71999999999997,1518.573,29.474,575.222,421.08000000000004,944.924,324.942,460.132,297.964,70.67,54.342,266.811,532.582,449.484,2209.332,473.38399999999996,897.256,870.199,196.052,720.015,95.619,107.28699999999999,89.667,973.124,465.399,742.361,245.692,688.819,0.0,61.282,173.454,259.805,197.44,99.834,56.374,172.844,211.199,152.835,609.01699,86.571,229.11119
11,1175.142,145.4,61.219,0.0,239.38,330.487,131.039,659.947,87.002,15.769,920.442,4468.27,400.719,94.255,518.023,427.888,12.801,167.212,235.818,95.696,1542.243,521.643,582.118,70.509,115.741,377.145,482.559,185.416,103.855,141.829,111.00099999999999,0.0,437.693,148.369,514.312,700.1129999999999,267.549,128.71699999999998,607.422,225.535,141.949,252.618,738.936,648.679,648.49,311.164,309.86400000000003,408.445,212.553,547.958,578.174,428.989,221.16,886.337,169.861,168.153,1049.276,119.77,755.063,443.105,468.317,29.603,451.022,217.41799999999998,199.92,143.477,432.544,0.0,520.633,536.202,163.525,514.318,404.217,584.904,72.86099999999999,1032.726,730.82,362.406,292.139,428.032,1559.01,29.092000000000002,581.813,431.25100000000003,955.149,327.952,479.66499999999996,301.839,71.519,55.288,268.322,546.378,453.466,2246.424,477.272,899.808,885.252,200.661,742.186,97.41900000000001,109.488,90.566,984.627,464.34499999999997,771.306,246.72899999999998,701.6320000000001,0.0,63.311,177.409,275.742,207.001,105.932,56.388,178.144,209.611,159.847,631.54678,88.658,240.8341
12,1163.703,141.155,60.391999999999996,0.0,233.56,330.564,131.428,648.3199999999999,85.972,16.043,902.16,4340.391,389.644,92.377,505.33099999999996,419.98,12.657,167.189,232.678,93.42,1493.278,512.887,579.178,69.964,115.00800000000001,374.551,476.725,184.024,103.28800000000001,138.461,110.154,0.0,433.451,144.821,500.524,692.433,263.681,125.72099999999999,591.005,220.697,141.32999999999998,245.328,710.505,638.4010000000001,630.116,306.07800000000003,306.136,396.253,209.91400000000002,530.261,572.802,424.621,217.432,842.5840000000001,164.868,163.866,1015.732,120.629,731.443,430.955,456.471,28.381999999999998,439.89300000000003,209.40200000000002,197.089,141.616,418.766,0.0,494.521,521.303,161.83,500.355,388.765,577.98,70.03399999999999,1016.9870000000001,709.205,351.09000000000003,282.156,417.003,1497.287,29.024,555.361,420.359,903.4540000000001,314.599,452.788,279.197,70.503,53.24,257.739,520.354,439.048,2143.41,470.372,857.765,839.18,196.56099999999998,703.292,93.51,106.934,87.943,930.338,442.661,727.318,235.97099999999998,687.335,0.0,62.686,171.86599999999999,262.406,193.836,100.658,50.924,171.172,207.332,152.18,607.72908,87.15299999999999,230.70669
13,1142.672,139.516,58.903,0.0,232.74,332.511,131.716,642.864,85.243,16.304,892.5260000000001,4268.263,379.392,92.006,503.36899999999997,420.182,12.615,167.042,232.542,92.14,1469.941,506.51,575.818,69.359,113.949,373.863,466.85,184.017,102.511,138.135,108.945,0.0,433.706,143.127,493.478,689.216,259.665,124.68,587.488,219.317,140.578,240.373,702.102,635.311,618.64,304.492,303.706,395.463,209.677,526.459,570.9929999999999,421.984,217.421,818.918,165.413,163.422,1000.793,121.901,725.659,426.028,452.015,27.772,435.052,206.49300000000002,196.982,142.312,412.854,0.0,483.876,520.933,160.934,494.76599999999996,385.676,573.999,68.568,1020.417,701.0889999999999,346.552,278.537,409.862,1470.418,28.864,540.083,419.333,878.278,310.148,442.744,272.344,69.404,53.191,251.288,511.453,434.383,2105.693,464.509,836.504,814.371,195.688,684.737,91.262,107.226,87.074,913.98,433.50800000000004,717.012,229.224,681.23,0.0,59.705,168.801,260.884,189.484,99.325,49.332,169.665,206.741,151.341,600.28499,85.572,226.73749999999998
14,1164.069,138.649,59.981,0.0,234.551,337.865,134.057,640.269,85.331,16.9,898.872,4301.907,385.952,92.508,504.692,424.726,12.662,168.049,234.876,92.836,1489.125,513.324,581.21,69.99600000000001,115.066,377.09000000000003,478.245,186.95600000000002,103.00399999999999,139.148,110.56,0.0,439.82,145.319,496.516,694.936,262.928,124.95700000000001,592.135,222.143,141.33,236.18200000000002,702.522,642.628,629.944,305.509,306.88800000000003,395.535,211.651,534.439,580.144,424.116,221.393,812.969,167.139,166.012,1013.611,124.788,734.338,432.073,453.375,27.184,440.058,207.01,199.783,143.051,414.691,0.0,484.49,522.317,164.451,497.628,381.872,581.035,68.326,1034.71,700.917,346.811,277.75600000000003,411.26599999999996,1487.334,28.839,543.298,420.937,874.241,309.84,442.604,266.361,71.136,53.563,254.37099999999998,517.324,434.488,2112.858,472.003,835.399,815.581,196.906,687.102,93.304,106.56,88.023,917.957,433.223,721.2570000000001,231.57899999999998,689.0889999999999,0.0,61.132999999999996,171.54999999999998,264.114,187.958,99.987,48.058,170.638,207.75,151.629,600.4711,87.751,227.26149
15,1182.365,139.022,60.933,0.0,237.019,342.725,135.738,645.796,85.772,17.275,907.7909999999999,4348.253,391.205,93.19200000000001,508.646,429.15500000000003,12.764,169.48499999999999,238.012,93.612,1511.198,519.919,587.423,70.713,116.376,381.31100000000004,488.094,189.818,103.542,142.374,112.102,0.0,445.849,147.572,502.008,700.748,266.175,125.302,595.342,224.391,142.564,237.207,707.716,649.691,640.633,307.07,310.543,400.108,214.942,542.757,589.35,428.19,225.17,815.789,170.85,168.28,1023.585,125.918,739.015,434.389,456.80899999999997,27.044,444.178,206.594,201.782,145.905,416.692,0.0,486.179,526.535,166.084,501.769,380.692,588.086,68.79599999999999,1048.164,703.866,347.808,279.865,413.539,1497.166,28.971000000000004,545.24,424.065,874.066,310.618,443.241,264.296,71.934,53.989,255.389,520.7379999999999,436.854,2121.511,475.885,838.671,819.774,198.531,693.184,94.946,108.39099999999999,88.967,918.967,433.856,724.732,232.534,695.682,0.0,62.467,173.255,268.355,189.651,101.76,47.341,172.85500000000002,209.43,152.552,602.17979,89.702,225.2392
16,1199.164,142.034,61.627,0.0,241.555,349.978,138.326,656.606,87.729,17.646,924.389,4428.828,398.156,94.613,515.256,436.42,12.957,172.318,242.72,95.577,1540.0629999999999,531.426,596.895,72.30199999999999,118.584,388.072,499.71500000000003,194.33800000000002,105.66,145.183,114.592,0.0,454.813,150.811,509.692,712.039,271.668,126.601,604.36,228.95499999999998,145.137,240.16400000000002,716.306,661.28,654.009,312.608,317.13,406.077,218.959,552.418,603.832,435.797,229.988,822.04,173.657,171.211,1036.97,128.871,747.374,440.295,462.037,26.957,451.178,207.518,204.927,148.502,421.472,0.0,490.662,532.128,169.603,508.796,382.189,595.961,69.625,1065.156,712.922,350.995,283.158,418.758,1515.181,29.302,549.677,427.587,878.648,312.257,443.257,262.676,73.717,54.315,258.673,527.348,440.371,2139.967,485.041,845.095,828.3389999999999,200.88299999999998,700.32,96.894,109.133,90.114,924.71,436.373,732.877,235.327,706.448,0.0,63.891000000000005,176.173,275.213,193.484,104.00399999999999,47.0,176.763,212.591,154.849,609.51053,92.339,227.65174
17,1216.33,149.87,61.986,0.0,253.083,363.414,142.423,682.107,92.915,17.976,952.78,4545.823,407.192,98.55499999999999,534.407,451.16999999999996,13.561,179.36,252.442,99.356,1594.8419999999999,553.616,616.923,75.69,122.96100000000001,405.254,512.208,202.15900000000002,111.49600000000001,149.785,118.873,0.0,472.721,157.215,522.008,739.581,281.125,130.036,622.157,238.71699999999998,151.731,249.129,740.039,689.293,675.399,325.177,329.856,421.185,226.928,572.568,626.937,452.595,239.96599999999998,841.224,177.411,176.236,1059.257,131.836,763.2769999999999,449.937,474.558,27.249,462.706,212.52700000000002,210.49,153.512,430.033,0.0,500.423,545.629,173.615,521.279,390.72200000000004,610.921,71.23,1093.076,736.3770000000001,359.411,290.022,428.73,1538.591,30.445,560.072,434.935,890.164,318.596,454.839,266.022,74.554,55.543,262.219,536.706,446.959,2173.205,492.32099999999997,863.848,838.078,206.547,710.849,99.187,111.292,92.599,938.29,445.772,754.7470000000001,239.185,722.553,0.0,65.088,179.46699999999998,284.125,200.698,107.735,47.85,185.284,220.838,160.997,630.59506,94.932,237.9823
18,1198.211,166.174,60.205999999999996,0.0,270.742,375.286,146.733,722.534,101.065,17.455000000000002,1004.311,4761.756,407.955,103.938,567.59,466.74,14.517000000000001,187.785,265.509,105.09100000000001,1699.295,582.019,639.131,79.567,127.69900000000001,429.605,509.883,208.989,120.286,159.035,122.126,0.0,491.265,165.673,535.792,795.54,297.434,137.691,663.714,249.143,161.445,262.588,788.338,725.981,702.165,347.22700000000003,345.086,454.576,240.013,607.743,671.564,473.331,252.42600000000002,874.975,189.006,182.38400000000001,1090.78,143.035,788.216,470.599,500.967,28.445,491.726,218.454,222.238,164.483,448.149,0.0,515.574,580.292,182.48899999999998,537.6030000000001,418.409,639.211,73.001,1155.077,769.908,376.89300000000003,306.802,446.191,1624.0,32.297,587.894,460.361,930.345,333.204,483.115,278.766,79.555,59.927,272.41700000000003,554.702,482.087,2279.908,524.954,895.271,877.951,221.264,739.02,102.82499999999999,121.379,98.15100000000001,968.838,459.129,798.013,246.415,760.701,0.0,66.04599999999999,186.618,308.32,217.243,113.66,50.897,196.95000000000002,232.008,174.733,670.97163,97.95500000000001,263.07307000000003
19,1175.017,170.59,58.977,0.0,276.139,371.439,144.143,729.485,105.523,16.73,989.324,4675.465,407.879,106.063,567.983,466.388,14.865,190.09199999999998,265.194,106.071,1688.809,589.18,646.721,81.113,129.70000000000002,432.879,507.12,210.94,125.233,157.167,122.754,0.0,494.01,167.953,525.804,790.967,295.21,135.56,660.306,252.989,164.516,267.51099999999997,779.245,733.55,703.558,345.45500000000004,350.329,452.525,240.502,598.24,665.422,477.05699999999996,253.202,867.192,180.508,178.758,1054.9279999999999,137.627,767.328,458.15,495.306,27.242,481.722,214.968,214.078,160.787,433.746,0.0,504.45300000000003,561.275,177.843,522.401,403.605,618.434,70.637,1118.911,763.897,367.192,296.319,438.42,1572.163,33.161,575.97,446.639,905.731,327.561,473.29600000000005,272.261,76.783,58.471999999999994,267.947,542.907,468.331,2230.59,511.051,891.5640000000001,848.946,220.007,715.045,101.188,118.699,97.393,957.1,459.895,785.011,244.112,745.283,0.0,64.23,182.88,297.136,214.338,110.92,50.252,198.76999999999998,236.03,172.908,664.07849,97.351,263.68877
20,1154.437,170.729,57.588,0.0,270.126,371.49,143.618,728.168,106.068,16.505,981.85,4617.044,400.41999999999996,105.349,565.942,463.699,14.737,190.753,265.049,104.75500000000001,1642.058,582.867,643.604,81.22500000000001,129.252,430.008,498.39500000000004,208.411,125.853,157.57,122.26100000000001,0.0,488.50100000000003,164.16400000000002,518.433,789.519,292.15,134.947,655.216,251.35,164.478,264.59,765.997,723.611,684.573,344.001,347.715,445.437,239.918,578.735,662.8629999999999,475.315,246.76000000000002,848.964,180.618,177.678,1042.438,137.005,757.7,452.86699999999996,493.149,26.911,478.435,213.256,212.303,162.29,428.931,0.0,496.27,560.722,176.125,516.821,400.116,615.146,69.621,1116.532,758.485,364.597,293.956,433.118,1549.231,33.244,567.842,443.814,888.72,324.579,469.26200000000006,267.829,75.234,58.763000000000005,262.838,532.468,465.81399999999996,2197.05,503.377,881.103,831.238,219.365,702.654,100.037,120.112,97.29599999999999,940.325,454.06600000000003,777.524,239.506,738.7620000000001,0.0,62.683,179.667,294.493,213.215,110.53,49.401,198.475,234.65800000000002,171.834,659.55464,96.30600000000001,261.41492999999997
21,1119.636,166.016,56.076,0.0,261.499,358.527,138.448,706.5120000000001,103.01599999999999,15.871,949.655,4473.205,386.423,102.232,548.787,448.717,14.396999999999998,185.48399999999998,257.563,100.839,1599.399,564.362,626.461,78.511,125.77,418.04,480.002,200.58100000000002,122.801,153.13400000000001,117.976,0.0,472.28499999999997,159.176,500.657,771.404,282.518,130.93099999999998,633.176,241.987,160.268,256.932,744.479,702.0219999999999,664.466,333.764,336.604,434.09000000000003,232.876,562.4110000000001,648.125,460.831,238.83100000000002,824.661,175.756,171.394,1005.014,131.016,731.388,437.63599999999997,481.046,26.256999999999998,466.22999999999996,206.42,206.10299999999998,157.334,412.653,0.0,478.311,546.939,168.676,498.327,389.157,597.272,67.067,1081.196,732.001,353.238,284.772,418.936,1510.62,32.644,554.312,434.002,862.44,318.216,460.813,261.849,72.012,58.979,252.989,515.885,455.642,2134.875,485.335,857.038,805.175,215.771,684.978,98.181,118.39099999999999,96.36500000000001,910.149,441.618,751.755,230.851,716.376,0.0,60.870000000000005,174.319,288.681,208.066,107.288,47.864000000000004,191.732,227.877,167.343,642.5417199999999,93.825,258.89895
22,1088.417,160.918,54.985,0.0,250.689,342.233,132.984,681.048,99.37,15.129999999999999,919.712,4349.482,373.851,98.761,530.686,425.453,13.993,178.899,248.729,96.871,1559.532,544.604,604.007,75.425,122.03,402.608,462.734,186.822,119.059,147.748,113.364,0.0,453.173,154.243,480.264,748.269,272.698,127.242,614.768,231.282,155.206,248.516,722.936,678.014,647.799,321.999,321.935,422.262,224.99699999999999,543.981,626.843,440.8,230.908,804.455,171.883,164.62,968.352,126.987,703.45,423.853,469.572,25.708,456.449,198.796,198.538,152.785,398.301,0.0,462.275,532.32,162.991,478.957,378.461,577.067,64.35,1047.396,703.064,342.742,275.509,406.399,1488.13,31.894000000000002,543.931,425.439,846.226,312.473,453.534,255.929,70.795,59.342000000000006,246.796,502.34,452.182,2092.38,476.825,836.61,791.193,212.087,672.11,97.291,118.076,95.735,886.257,430.186,727.852,224.73499999999999,698.5269999999999,0.0,59.663,170.555,282.777,202.043,103.981,46.564,184.757,219.377,163.102,625.37542,91.077,254.64595
23,1044.611,152.612,53.86,0.0,234.523,313.488,124.143,637.5360000000001,92.54299999999999,13.85,873.842,4176.358,356.767,92.902,503.708,394.41499999999996,13.239,167.674,235.01399999999998,91.271,1500.432,514.629,569.98,70.153,115.568,378.948,438.65200000000004,171.033,111.957,141.817,106.092,0.0,422.97,145.59,453.26099999999997,715.167,260.121,121.479,589.727,214.688,148.601,234.4,685.581,640.635,622.203,302.853,301.504,400.431,212.498,517.67,593.682,412.118,217.083,774.373,165.702,154.475,913.894,121.271,663.2620000000001,402.933,450.623,24.591,440.33299999999997,185.981,188.133,145.68200000000002,376.996,0.0,440.438,506.08,154.815,452.474,360.902,547.333,60.934,993.857,657.8389999999999,326.829,263.697,388.611,1456.112,30.497,527.364,411.60699999999997,826.186,303.36699999999996,443.238,249.182,69.638,58.674,238.905,485.262,447.279,2034.622,466.956,807.73,777.597,205.526,656.894,95.106,117.652,93.464,854.342,413.732,691.13,216.594,671.556,0.0,58.221000000000004,165.857,275.119,192.84,99.518,44.669,173.043,206.448,155.965,590.9677,86.638,246.59731
24,1021.671,145.389,53.158,0.0,222.87800000000001,298.276,119.769,611.621,86.91,13.463000000000001,845.6279999999999,4064.65,344.581,88.364,486.771,376.754,12.654,159.993,225.815,86.971,1464.004,492.786,546.932,66.415,110.64500000000001,364.16200000000003,423.601,162.263,105.773,139.66,101.208,0.0,403.818,139.441,440.105,692.761,251.292,118.51899999999999,573.447,203.09,144.044,225.58599999999998,664.834,615.116,601.93,290.819,287.106,387.581,205.184,503.473,575.075,394.566,208.368,758.504,163.945,148.071,888.565,119.184,644.39,393.479,439.09999999999997,24.336,431.023,180.478,183.50799999999998,143.027,368.761,0.0,427.784,496.641,151.02,438.585,353.074,533.49,59.114999999999995,972.539,630.1229999999999,320.128,258.647,378.098,1441.679,29.294,519.373,405.155,815.392,298.067,436.07,244.37599999999998,69.086,58.963,234.57,472.435,447.398,1994.8790000000001,461.342,787.569,770.944,200.036,648.49,94.10300000000001,118.45400000000001,92.36699999999999,829.086,400.44599999999997,666.613,211.663,655.66,0.0,57.03,162.266,270.508,187.099,97.277,43.531,163.873,197.166,150.15800000000002,573.7157100000001,84.124,239.14082
