periods,gen 12875,gen 12876,gen 12877,gen 12878,gen 12879,gen 12880,gen 12881,gen 12882,gen 12883,gen 12884,gen 12885,gen 12886,gen 12893,gen 12896,gen 12897,gen 12898,gen 12899,gen 12910,gen 12911,gen 12912,gen 12913,gen 12914,gen 12918,gen 12919,gen 12922,gen 12925,gen 12926,gen 12927,gen 12928,gen 12929,gen 12933,gen 12934,gen 12935,gen 12936,gen 12937,gen 12947,gen 12948,gen 12949,gen 12950,gen 12951,gen 12952,gen 12953,gen 12954,gen 12958,gen 12959,gen 12960,gen 12961,gen 12962,gen 12963,gen 12964,gen 12965,gen 12966,gen 12967,gen 12968,gen 12969,gen 12970,gen 12971,gen 12972,gen 12973,gen 12974,gen 12975,gen 12976,gen 12979,gen 12980,gen 12981,gen 12982,gen 12983,gen 12984,gen 12985,gen 12986,gen 12987,gen 12988,gen 12992,gen 12993,gen 12994,gen 13000,gen 13025,gen 13034,gen 13035,gen 13040,gen 13041,gen 13042,gen 13043,gen 13054,gen 13055,gen 13056,gen 13079,gen 13080,gen 13084,gen 13085,gen 13116,gen 13161,gen 13162,gen 13163,gen 13164,gen 13165,gen 13166,gen 13237,gen 13238,gen 13239,gen 13240,gen 13308,gen 13309,gen 13310,gen 13311,gen 13312,gen 13313,gen 13384,gen 13405
11.0,105.922,175.7,175.7,7.98,100.149,90.36,125.5,139.556,125.5,74.045,61.194,75.3,60.24,183.54,183.54,71.535,80.571,75.3,57.981,100.4,76.555,68.272,16.048,17.44,28.0,20.0,10.832,20.0,100.701,9.0,5.408,16.0,6.36,5.02,75.3,14.536,23.088,69.075,185.489,75.3,16.0,115.711,16.72,120.982,19.614,19.614,19.614,123.075,123.075,123.075,123.075,40.411,75.3,85.44,100.3,124.998,116.715,87.85,87.348,16.0,100.4,125.5,50.2,62.348,62.348,100.4,60.24,31.601,98.894,67.77,63.503,87.348,50.802,100.4,16.128,16.0,14.4,15.04,22.656,16.08,12.0,16.008,16.24,16.128,20.0,73.8,86.1,61.5,18.0,12.0,13.248,72.68,9.48,72.68,72.68,4.392,12.861,7.062,41.86,41.86,41.86,76.36,99.6,83.0,37.848,9.396,18.791,83.0,25.764
12.0,89.042,147.7,147.7,10.16,84.189,75.96,105.5,117.316,105.5,62.245,51.442,63.3,50.64,233.68,233.68,60.135,67.731,63.3,48.741,84.4,64.355,57.392,4.814,5.232,8.4,6.0,3.25,6.0,84.653,2.7,1.622,4.8,1.908,4.22,63.3,4.361,6.926,58.067,155.929,63.3,4.8,97.271,5.016,101.702,5.884,5.884,5.884,103.462,103.462,103.462,103.462,33.971,63.3,71.824,84.316,105.078,98.115,73.85,73.428,4.8,84.4,105.5,42.2,52.412,52.412,84.4,50.64,40.234,83.134,56.97,53.383,73.428,42.706,84.4,4.838,4.8,4.32,4.512,6.797,4.824,3.6,4.802,4.872,4.838,6.0,60.6,70.7,50.5,5.4,3.6,3.974,68.54,8.94,68.54,68.54,4.142,12.129,10.709,63.48,63.48,63.48,71.3,93.0,77.5,35.34,8.773,17.546,77.5,36.48
13.0,70.474,116.9,116.9,12.56,66.633,60.12,83.5,92.852,83.5,49.265,40.715,50.1,40.08,288.88,288.88,47.595,53.607,50.1,38.577,66.8,50.935,45.424,0.802,0.872,1.4,1.0,0.542,1.0,67.0,0.45,0.27,0.8,0.318,3.34,50.1,0.727,1.154,45.958,123.413,50.1,0.8,76.987,0.836,80.494,0.981,0.981,0.981,81.887,81.887,81.887,81.887,26.887,50.1,56.847,66.733,83.166,77.655,58.45,58.116,0.8,66.8,83.5,33.4,41.483,41.483,66.8,40.08,49.738,65.798,45.09,42.251,58.116,33.801,66.8,0.806,0.8,0.72,0.752,1.133,0.804,0.6,0.8,0.812,0.806,1.0,54.0,63.0,45.0,0.9,0.6,0.662,76.36,9.96,76.36,76.36,4.615,13.512,17.227,102.12,102.12,102.12,83.26,108.6,90.5,41.268,10.245,20.489,90.5,40.812
14.0,49.796,82.6,82.6,12.9,47.082,42.48,59.0,65.608,59.0,34.81,28.768,35.4,28.32,296.7,296.7,33.63,37.878,35.4,27.258,47.2,35.99,32.096,2.006,2.18,3.5,2.5,1.354,2.5,47.342,1.125,0.676,2.0,0.795,2.36,35.4,1.817,2.886,32.474,87.202,35.4,2.0,54.398,2.09,56.876,2.452,2.452,2.452,57.86,57.86,57.86,57.86,18.998,35.4,40.167,47.153,58.764,54.87,41.3,41.064,2.0,47.2,59.0,23.6,29.311,29.311,47.2,28.32,51.084,46.492,31.86,29.854,41.064,23.883,47.2,2.016,2.0,1.8,1.88,2.832,2.01,1.5,2.001,2.03,2.016,2.5,54.0,63.0,45.0,2.25,1.5,1.656,73.6,9.6,73.6,73.6,4.448,13.024,18.857,111.78,111.78,111.78,101.66,132.6,110.5,50.388,12.509,25.017,110.5,34.884
15.0,35.448,58.8,58.8,11.54,33.516,30.24,42.0,46.704,42.0,24.78,20.479,25.2,20.16,265.42,265.42,23.94,26.964,25.2,19.404,33.6,25.62,22.848,8.024,8.72,14.0,10.0,5.416,10.0,33.701,4.5,2.704,8.0,3.18,1.68,25.2,7.268,11.544,23.117,62.076,25.2,8.0,38.724,8.36,40.488,9.807,9.807,9.807,41.189,41.189,41.189,41.189,13.524,25.2,28.594,33.566,41.832,39.06,29.4,29.232,8.0,33.6,42.0,16.8,20.866,20.866,33.6,20.16,45.698,33.096,22.68,21.252,29.232,17.002,33.6,8.064,8.0,7.2,7.52,11.328,8.04,6.0,8.004,8.12,8.064,10.0,47.4,55.3,39.5,9.0,6.0,6.624,61.18,7.98,61.18,61.18,3.697,10.826,16.839,99.82,99.82,99.82,87.4,114.0,95.0,43.32,10.754,21.508,95.0,25.308
16.0,25.742,42.7,42.7,9.04,24.339,21.96,30.5,33.916,30.5,17.995,14.872,18.3,14.64,207.92,207.92,17.385,19.581,18.3,14.091,24.4,18.605,16.592,16.048,17.44,28.0,20.0,10.832,20.0,24.473,9.0,5.408,16.0,6.36,1.22,18.3,14.536,23.088,16.787,45.079,18.3,16.0,28.121,16.72,29.402,19.614,19.614,19.614,29.911,29.911,29.911,29.911,9.821,18.3,20.764,24.376,30.378,28.365,21.35,21.228,16.0,24.4,30.5,12.2,15.152,15.152,24.4,14.64,35.798,24.034,16.47,15.433,21.228,12.346,24.4,16.128,16.0,14.4,15.04,22.656,16.08,12.0,16.008,16.24,16.128,20.0,41.4,48.3,34.5,18.0,12.0,13.248,36.8,4.8,36.8,36.8,2.224,6.512,10.942,64.86,64.86,64.86,55.66,72.6,60.5,27.588,6.849,13.697,60.5,16.872
17.0,21.522,35.7,35.7,4.98,20.349,18.36,25.5,28.356,25.5,15.045,12.434,15.3,12.24,114.54,114.54,14.535,16.371,15.3,11.781,20.4,15.555,13.872,20.461,22.236,35.7,25.5,13.811,25.5,20.461,11.475,6.895,20.4,8.109,1.02,15.3,18.533,29.437,14.035,37.689,15.3,20.4,23.511,21.318,24.582,25.007,25.007,25.007,25.007,25.007,25.007,25.007,8.211,15.3,17.36,20.38,25.398,23.715,17.85,17.748,20.4,20.4,25.5,10.2,12.668,12.668,20.4,12.24,19.721,20.094,13.77,12.903,17.748,10.322,20.4,20.563,20.4,18.36,19.176,28.886,20.502,15.3,20.41,20.706,20.563,25.5,36.6,42.7,30.5,22.95,15.3,16.891,12.42,1.62,12.42,12.42,0.751,2.198,4.19,24.84,24.84,24.84,22.08,28.8,24.0,10.944,2.717,5.434,24.0,5.472
18.0,23.632,39.2,39.2,0.58,22.344,20.16,28.0,31.136,28.0,16.52,13.653,16.8,13.44,13.34,13.34,15.96,17.976,16.8,12.936,22.4,17.08,15.232,24.072,26.16,42.0,30.0,16.248,30.0,22.467,13.5,8.112,24.0,9.54,1.12,16.8,21.804,34.632,15.411,41.384,16.8,24.0,25.816,25.08,26.992,29.42,29.42,29.42,27.459,27.459,27.459,27.459,9.016,16.8,19.062,22.378,27.888,26.04,19.6,19.488,24.0,22.4,28.0,11.2,13.91,13.91,22.4,13.44,2.297,22.064,15.12,14.168,19.488,11.334,22.4,24.192,24.0,21.6,22.56,33.984,24.12,18.0,24.012,24.36,24.192,30.0,43.2,50.4,36.0,27.0,18.0,19.872,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.46,0.46,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,22.788,37.8,37.8,0.0,21.546,19.44,27.0,30.024,27.0,15.93,13.165,16.2,12.96,0.0,0.0,15.39,17.334,16.2,12.474,21.6,16.47,14.688,39.719,43.164,69.3,49.5,26.809,49.5,21.665,22.275,13.385,39.6,15.741,1.08,16.2,35.977,57.143,14.861,39.906,16.2,39.6,24.894,41.382,26.028,48.544,48.544,48.544,26.478,26.478,26.478,26.478,8.694,16.2,18.382,21.578,26.892,25.11,18.9,18.792,39.6,21.6,27.0,10.8,13.414,13.414,21.6,12.96,0.0,21.276,14.58,13.662,18.792,10.93,21.6,39.917,39.6,35.64,37.224,56.074,39.798,29.7,39.62,40.194,39.917,49.5,43.2,50.4,36.0,44.55,29.7,32.789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,9.706,16.1,16.1,0.0,9.177,8.28,11.5,12.788,11.5,6.785,5.607,6.9,5.52,0.0,0.0,6.555,7.383,6.9,5.313,9.2,7.015,6.256,71.414,77.608,124.6,89.0,48.202,89.0,9.228,40.05,24.066,71.2,28.302,0.46,6.9,64.685,102.742,6.33,16.997,6.9,71.2,10.603,74.404,11.086,87.281,87.281,87.281,11.278,11.278,11.278,11.278,3.703,6.9,7.829,9.191,11.454,10.695,8.05,8.004,71.2,9.2,11.5,4.6,5.713,5.713,9.2,5.52,0.0,9.062,6.21,5.819,8.004,4.655,9.2,71.77,71.2,64.08,66.928,100.819,71.556,53.4,71.236,72.268,71.77,89.0,27.6,32.2,23.0,80.1,53.4,58.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,2.11,3.5,3.5,0.0,1.995,1.8,2.5,2.78,2.5,1.475,1.219,1.5,1.2,0.0,0.0,1.425,1.605,1.5,1.155,2.0,1.525,1.36,117.552,127.748,205.1,146.5,79.344,146.5,2.006,65.925,39.614,117.2,46.587,0.1,1.5,106.476,169.12,1.376,3.695,1.5,117.2,2.305,122.474,2.41,143.67,143.67,143.67,2.452,2.452,2.452,2.452,0.805,1.5,1.702,1.998,2.49,2.325,1.75,1.74,117.2,2.0,2.5,1.0,1.242,1.242,2.0,1.2,0.0,1.97,1.35,1.265,1.74,1.012,2.0,118.138,117.2,105.48,110.168,165.955,117.786,87.9,117.259,118.958,118.138,146.5,18.0,21.0,15.0,131.85,87.9,97.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,1.266,2.1,2.1,0.0,1.197,1.08,1.5,1.668,1.5,0.885,0.731,0.9,0.72,0.0,0.0,0.855,0.963,0.9,0.693,1.2,0.915,0.816,158.474,172.22,276.5,197.5,106.966,197.5,1.204,88.875,53.404,0.0,3.569,0.06,0.9,143.543,227.994,0.826,2.217,0.9,158.0,1.383,165.11,1.446,193.684,193.684,193.684,1.471,1.471,1.471,1.471,0.483,0.9,1.021,1.199,1.494,1.395,1.05,1.044,158.0,1.2,1.5,0.6,0.745,0.745,1.2,0.72,0.0,1.182,0.81,0.759,1.044,0.607,1.2,159.264,158.0,142.2,148.52,223.728,158.79,118.5,158.079,160.37,159.264,197.5,23.4,27.3,19.5,177.75,118.5,130.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.965,205.356,80.529,235.5,127.547,235.5,0.0,105.975,63.679,0.0,0.0,0.0,0.0,171.161,271.861,0.0,0.0,0.0,188.4,0.0,196.878,0.0,230.95,230.95,230.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.907,188.4,169.56,177.096,266.774,189.342,141.3,188.494,191.226,189.907,235.5,35.4,41.3,29.5,211.95,141.3,155.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.028,251.967,261.5,141.628,261.5,0.0,117.675,70.71,0.0,0.0,0.0,0.0,190.058,301.876,0.0,0.0,0.0,209.2,0.0,218.614,0.0,256.448,256.448,256.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.874,209.2,188.28,196.648,296.227,210.246,156.9,209.305,212.338,210.874,261.5,36.6,42.7,30.5,235.35,156.9,173.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
