plant_id,12875,12876,12877,12878,12879,12880,12881,12882,12883,12884,12885,12886,12893,12896,12897,12898,12899,12910,12911,12912,12913,12914,12918,12919,12922,12925,12926,12927,12928,12929,12933,12934,12935,12936,12937,12947,12948,12949,12950,12951,12952,12953,12954,12958,12959,12960,12961,12962,12963,12964,12965,12966,12967,12968,12969,12970,12971,12972,12973,12974,12975,12976,12979,12980,12981,12982,12983,12984,12985,12986,12987,12988,12992,12993,12994,13000,13025,13034,13035,13040,13041,13042,13043,13054,13055,13056,13079,13080,13084,13085,13116,13161,13162,13163,13164,13165,13166,13237,13238,13239,13240,13308,13309,13310,13311,13312,13313,13384,13405
bus_agg,2096,3048,1079,1079,1079,2096,1079,1079,3048,1079,1079,1079,1079,3048,3048,1079,3048,1079,1079,1079,1079,1079,2011,2017,2011,2127,2054,5236,3048,2101,5236,2011,2011,2096,2096,2127,2127,3048,3048,3048,5394,2096,5394,3048,5394,5394,5394,3048,3048,3048,3048,3048,3048,3048,3048,3048,3048,3048,3048,5394,3048,2096,2096,3048,3048,2096,2096,3048,3048,3048,3048,3048,3048,3048,4195,4195,4195,4195,4195,4195,4195,7406,4195,4195,4195,5018,5413,5196,5236,5239,5394,6342,6342,6342,6342,6342,6342,7406,7406,7406,7406,7366,7366,7366,7366,7366,7366,7389,8112
type,w,w,w,s,w,w,w,w,w,w,w,w,w,s,s,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,s,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
8,84.822,140.70000000000002,140.70000000000002,0.0,80.199,72.36,100.5,111.756,100.5,59.295,49.003800000000005,60.300000000000004,48.24,0.0,0.0,57.285000000000004,64.521,60.300000000000004,46.431000000000004,80.4,61.30500000000001,54.672000000000004,91.0724,98.97200000000001,158.9,113.5,61.4716,113.5,80.6412,51.075,30.690399999999997,90.8,36.093,4.0200000000000005,60.300000000000004,82.4918,131.0244,55.315200000000004,148.53900000000002,60.300000000000004,90.8,92.661,94.88600000000001,96.882,111.30718,111.30718,111.30718,98.55834,98.55834,98.55834,98.55834,32.361000000000004,60.300000000000004,68.4204,80.31960000000001,100.098,93.465,70.35000000000001,69.94800000000001,90.8,80.4,100.5,40.2,49.9284,49.9284,80.4,48.24,0.0,79.194,54.27,50.853,69.94800000000001,40.6824,80.4,91.5264,90.8,81.72,85.352,128.5728,91.254,68.10000000000001,90.8454,92.162,91.5264,113.5,104.39999999999999,121.8,87.0,102.15,68.10000000000001,75.1824,0.0,0.0,0.0,0.0,0.0,0.0,0.1552,0.92,0.92,0.92,2.3000000000000003,3.0,2.5,1.1400000000000001,0.28300000000000003,0.5660000000000001,2.5,0.456
9,99.592,165.2,165.2,1.8199999999999998,94.164,84.96,118.0,131.21599999999998,118.0,69.61999999999999,57.5368,70.8,56.64,41.86,41.86,67.25999999999999,75.756,70.8,54.516,94.39999999999999,71.97999999999999,64.192,56.569199999999995,61.47599999999999,98.69999999999999,70.5,38.1828,70.5,94.6832,31.724999999999998,19.063199999999995,56.39999999999999,22.418999999999997,4.72,70.8,51.23939999999999,81.3852,64.9472,174.404,70.8,56.39999999999999,108.79599999999999,58.937999999999995,113.752,69.13793999999999,69.13793999999999,69.13793999999999,115.72023999999999,115.72023999999999,115.72023999999999,115.72023999999999,37.995999999999995,70.8,80.33439999999999,94.3056,117.52799999999999,109.74,82.6,82.128,56.39999999999999,94.39999999999999,118.0,47.199999999999996,58.6224,58.6224,94.39999999999999,56.64,7.2072,92.984,63.72,59.708,82.128,47.7664,94.39999999999999,56.85119999999999,56.39999999999999,50.76,53.016,79.8624,56.681999999999995,42.3,56.42819999999999,57.245999999999995,56.85119999999999,70.5,82.2,95.9,68.5,63.449999999999996,42.3,46.69919999999999,15.180000000000001,1.98,15.180000000000001,15.180000000000001,0.9174000000000001,2.6862000000000004,2.2504,13.34,13.34,13.34,22.54,29.400000000000002,24.5,11.172,2.7734,5.5468,24.5,9.576
10,122.80199999999999,203.7,203.7,6.9399999999999995,116.109,104.75999999999999,145.5,161.796,145.5,85.845,70.9458,87.3,69.83999999999999,159.61999999999998,159.61999999999998,82.93499999999999,93.41099999999999,87.3,67.22099999999999,116.39999999999999,88.755,79.152,21.2636,23.108,37.1,26.5,14.3524,26.5,116.74919999999999,11.924999999999999,7.1655999999999995,21.2,8.427,5.819999999999999,87.3,19.260199999999998,30.591600000000003,80.08319999999999,215.04899999999998,87.3,21.2,134.15099999999998,22.154,140.262,25.98802,25.98802,25.98802,142.68893999999997,142.68893999999997,142.68893999999997,142.68893999999997,46.851,87.3,99.05639999999998,116.28359999999999,144.91799999999998,135.315,101.85,101.26799999999999,21.2,116.39999999999999,145.5,58.199999999999996,72.28439999999999,72.28439999999999,116.39999999999999,69.83999999999999,27.4824,114.654,78.57,73.62299999999999,101.26799999999999,58.898399999999995,116.39999999999999,21.3696,21.2,19.08,19.928,30.019199999999998,21.306,15.9,21.2106,21.518,21.3696,26.5,63.0,73.5,52.5,23.849999999999998,15.9,17.5536,34.5,4.5,34.5,34.5,2.085,6.105,5.1992,30.82,30.82,30.82,39.559999999999995,51.599999999999994,43.0,19.607999999999997,4.8675999999999995,9.735199999999999,43.0,16.416
11,105.922,175.7,175.7,7.98,100.149,90.36,125.5,139.556,125.5,74.045,61.1938,75.3,60.24,183.54000000000002,183.54000000000002,71.535,80.571,75.3,57.981,100.4,76.555,68.272,16.048,17.44,28.0,20.0,10.832,20.0,100.7012,9.0,5.4079999999999995,16.0,6.36,5.02,75.3,14.536,23.088,69.0752,185.489,75.3,16.0,115.711,16.72,120.982,19.613599999999998,19.613599999999998,19.613599999999998,123.07534,123.07534,123.07534,123.07534,40.411,75.3,85.4404,100.29960000000001,124.998,116.715,87.85,87.348,16.0,100.4,125.5,50.2,62.348400000000005,62.348400000000005,100.4,60.24,31.600800000000003,98.894,67.77,63.503,87.348,50.8024,100.4,16.128,16.0,14.4,15.040000000000001,22.656,16.080000000000002,12.0,16.008,16.240000000000002,16.128,20.0,73.8,86.1,61.5,18.0,12.0,13.248,72.68,9.48,72.68,72.68,4.3924,12.8612,7.061599999999999,41.86,41.86,41.86,76.36,99.60000000000001,83.0,37.848,9.3956,18.7912,83.0,25.764
12,89.042,147.7,147.7,10.16,84.189,75.96,105.5,117.316,105.5,62.245,51.4418,63.3,50.64,233.68,233.68,60.135,67.731,63.3,48.741,84.39999999999999,64.355,57.391999999999996,4.8144,5.232,8.4,6.0,3.2496,6.0,84.6532,2.7,1.6223999999999998,4.8,1.9080000000000001,4.22,63.3,4.3608,6.926400000000001,58.06719999999999,155.929,63.3,4.8,97.271,5.016,101.702,5.88408,5.88408,5.88408,103.46173999999999,103.46173999999999,103.46173999999999,103.46173999999999,33.971,63.3,71.8244,84.3156,105.078,98.115,73.85,73.428,4.8,84.39999999999999,105.5,42.199999999999996,52.4124,52.4124,84.39999999999999,50.64,40.2336,83.134,56.97,53.382999999999996,73.428,42.7064,84.39999999999999,4.8384,4.8,4.32,4.5120000000000005,6.7968,4.824,3.6,4.8024,4.872,4.8384,6.0,60.6,70.7,50.5,5.4,3.6,3.9744,68.53999999999999,8.94,68.53999999999999,68.53999999999999,4.1422,12.1286,10.7088,63.480000000000004,63.480000000000004,63.480000000000004,71.3,93.0,77.5,35.339999999999996,8.773,17.546,77.5,36.480000000000004
13,70.474,116.9,116.9,12.56,66.63300000000001,60.120000000000005,83.5,92.852,83.5,49.265,40.714600000000004,50.1,40.080000000000005,288.88,288.88,47.595000000000006,53.607000000000006,50.1,38.577000000000005,66.8,50.935,45.424,0.8024,0.872,1.4000000000000001,1.0,0.5416000000000001,1.0,67.0004,0.45,0.2704,0.8,0.318,3.3400000000000003,50.1,0.7268,1.1544,45.9584,123.41300000000001,50.1,0.8,76.98700000000001,0.836,80.494,0.98068,0.98068,0.98068,81.88678,81.88678,81.88678,81.88678,26.887,50.1,56.8468,66.73320000000001,83.16600000000001,77.655,58.45,58.11600000000001,0.8,66.8,83.5,33.4,41.482800000000005,41.482800000000005,66.8,40.080000000000005,49.7376,65.798,45.09,42.251000000000005,58.11600000000001,33.8008,66.8,0.8064,0.8,0.72,0.752,1.1328,0.804,0.6,0.8004,0.812,0.8064,1.0,54.0,63.0,45.0,0.9,0.6,0.6624,76.36,9.96,76.36,76.36,4.614800000000001,13.512400000000001,17.2272,102.12,102.12,102.12,83.25999999999999,108.6,90.5,41.268,10.2446,20.4892,90.5,40.812
14,49.796,82.6,82.6,12.9,47.082,42.48,59.0,65.60799999999999,59.0,34.809999999999995,28.7684,35.4,28.32,296.7,296.7,33.629999999999995,37.878,35.4,27.258,47.199999999999996,35.989999999999995,32.096,2.006,2.18,3.5,2.5,1.354,2.5,47.3416,1.125,0.6759999999999999,2.0,0.795,2.36,35.4,1.817,2.886,32.4736,87.202,35.4,2.0,54.397999999999996,2.09,56.876,2.4516999999999998,2.4516999999999998,2.4516999999999998,57.860119999999995,57.860119999999995,57.860119999999995,57.860119999999995,18.997999999999998,35.4,40.167199999999994,47.1528,58.763999999999996,54.87,41.3,41.064,2.0,47.199999999999996,59.0,23.599999999999998,29.3112,29.3112,47.199999999999996,28.32,51.084,46.492,31.86,29.854,41.064,23.8832,47.199999999999996,2.016,2.0,1.8,1.8800000000000001,2.832,2.0100000000000002,1.5,2.001,2.0300000000000002,2.016,2.5,54.0,63.0,45.0,2.25,1.5,1.656,73.60000000000001,9.6,73.60000000000001,73.60000000000001,4.448,13.024000000000001,18.8568,111.78,111.78,111.78,101.66,132.6,110.5,50.388,12.508600000000001,25.017200000000003,110.5,34.884
15,35.448,58.800000000000004,58.800000000000004,11.54,33.516000000000005,30.240000000000002,42.0,46.704,42.0,24.78,20.479200000000002,25.200000000000003,20.16,265.41999999999996,265.41999999999996,23.94,26.964000000000002,25.200000000000003,19.404,33.6,25.62,22.848000000000003,8.024,8.72,14.0,10.0,5.416,10.0,33.7008,4.5,2.7039999999999997,8.0,3.18,1.6800000000000002,25.200000000000003,7.268,11.544,23.1168,62.076,25.200000000000003,8.0,38.724000000000004,8.36,40.488,9.806799999999999,9.806799999999999,9.806799999999999,41.18856,41.18856,41.18856,41.18856,13.524000000000001,25.200000000000003,28.5936,33.5664,41.832,39.06,29.400000000000002,29.232000000000003,8.0,33.6,42.0,16.8,20.8656,20.8656,33.6,20.16,45.6984,33.096000000000004,22.68,21.252000000000002,29.232000000000003,17.0016,33.6,8.064,8.0,7.2,7.5200000000000005,11.328,8.040000000000001,6.0,8.004,8.120000000000001,8.064,10.0,47.4,55.3,39.5,9.0,6.0,6.624,61.18000000000001,7.98,61.18000000000001,61.18000000000001,3.6974000000000005,10.826200000000002,16.839199999999998,99.82,99.82,99.82,87.4,114.0,95.0,43.32,10.754,21.508,95.0,25.308
16,25.742,42.699999999999996,42.699999999999996,9.040000000000001,24.339,21.96,30.5,33.916,30.5,17.995,14.8718,18.3,14.64,207.92000000000002,207.92000000000002,17.384999999999998,19.581,18.3,14.091,24.4,18.605,16.592,16.048,17.44,28.0,20.0,10.832,20.0,24.4732,9.0,5.4079999999999995,16.0,6.36,1.22,18.3,14.536,23.088,16.7872,45.079,18.3,16.0,28.121,16.72,29.402,19.613599999999998,19.613599999999998,19.613599999999998,29.910739999999997,29.910739999999997,29.910739999999997,29.910739999999997,9.821,18.3,20.7644,24.375600000000002,30.378,28.365,21.349999999999998,21.227999999999998,16.0,24.4,30.5,12.2,15.1524,15.1524,24.4,14.64,35.7984,24.034,16.47,15.433,21.227999999999998,12.346400000000001,24.4,16.128,16.0,14.4,15.040000000000001,22.656,16.080000000000002,12.0,16.008,16.240000000000002,16.128,20.0,41.400000000000006,48.300000000000004,34.5,18.0,12.0,13.248,36.800000000000004,4.8,36.800000000000004,36.800000000000004,2.224,6.5120000000000005,10.941599999999998,64.86,64.86,64.86,55.66,72.6,60.5,27.588,6.8486,13.6972,60.5,16.872
17,21.522,35.699999999999996,35.699999999999996,4.98,20.349,18.36,25.5,28.355999999999998,25.5,15.044999999999998,12.4338,15.299999999999999,12.239999999999998,114.54,114.54,14.534999999999998,16.371,15.299999999999999,11.780999999999999,20.4,15.555,13.872,20.461199999999998,22.235999999999997,35.699999999999996,25.5,13.8108,25.5,20.461199999999998,11.475,6.895199999999999,20.4,8.109,1.02,15.299999999999999,18.533399999999997,29.4372,14.035199999999998,37.689,15.299999999999999,20.4,23.511,21.317999999999998,24.581999999999997,25.007339999999996,25.007339999999996,25.007339999999996,25.007339999999996,25.007339999999996,25.007339999999996,25.007339999999996,8.211,15.299999999999999,17.3604,20.3796,25.398,23.715,17.849999999999998,17.747999999999998,20.4,20.4,25.5,10.2,12.6684,12.6684,20.4,12.239999999999998,19.7208,20.093999999999998,13.77,12.902999999999999,17.747999999999998,10.3224,20.4,20.5632,20.4,18.36,19.176,28.8864,20.502,15.299999999999999,20.4102,20.706,20.5632,25.5,36.6,42.699999999999996,30.5,22.95,15.299999999999999,16.891199999999998,12.42,1.6199999999999999,12.42,12.42,0.7506,2.1978,4.1903999999999995,24.84,24.84,24.84,22.080000000000002,28.8,24.0,10.944,2.7168,5.4336,24.0,5.472
