plant_id,12875,12876,12877,12878,12879,12880,12881,12882,12883,12884,12885,12886,12893,12896,12897,12898,12899,12910,12911,12912,12913,12914,12918,12919,12922,12925,12926,12927,12928,12929,12933,12934,12935,12936,12937,12947,12948,12949,12950,12951,12952,12953,12954,12958,12959,12960,12961,12962,12963,12964,12965,12966,12967,12968,12969,12970,12971,12972,12973,12974,12975,12976,12979,12980,12981,12982,12983,12984,12985,12986,12987,12988,12992,12993,12994,13000,13025,13034,13035,13040,13041,13042,13043,13054,13055,13056,13079,13080,13084,13085,13116,13161,13162,13163,13164,13165,13166,13237,13238,13239,13240,13308,13309,13310,13311,13312,13313,13384,13405
bus_agg,2096,3048,1079,1079,1079,2096,1079,1079,3048,1079,1079,1079,1079,3048,3048,1079,3048,1079,1079,1079,1079,1079,2011,2017,2011,2127,2054,5236,3048,2101,5236,2011,2011,2096,2096,2127,2127,3048,3048,3048,5394,2096,5394,3048,5394,5394,5394,3048,3048,3048,3048,3048,3048,3048,3048,3048,3048,3048,3048,5394,3048,2096,2096,3048,3048,2096,2096,3048,3048,3048,3048,3048,3048,3048,4195,4195,4195,4195,4195,4195,4195,7406,4195,4195,4195,5018,5413,5196,5236,5239,5394,6342,6342,6342,6342,6342,6342,7406,7406,7406,7406,7366,7366,7366,7366,7366,7366,7389,8112
type,w,w,w,s,w,w,w,w,w,w,w,w,w,s,s,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,s,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s,s
8,42.411,70.35000000000001,70.35000000000001,0.0,40.0995,36.18,50.25,55.878,50.25,29.6475,24.501900000000003,30.150000000000002,24.12,0.0,0.0,28.642500000000002,32.2605,30.150000000000002,23.215500000000002,40.2,30.652500000000003,27.336000000000002,45.5362,49.486000000000004,79.45,56.75,30.7358,56.75,40.3206,25.5375,15.345199999999998,45.4,18.0465,2.0100000000000002,30.150000000000002,41.2459,65.5122,27.657600000000002,74.26950000000001,30.150000000000002,45.4,46.3305,47.443000000000005,48.441,55.65359,55.65359,55.65359,49.27917,49.27917,49.27917,49.27917,16.180500000000002,30.150000000000002,34.2102,40.159800000000004,50.049,46.7325,35.175000000000004,34.974000000000004,45.4,40.2,50.25,20.1,24.9642,24.9642,40.2,24.12,0.0,39.597,27.135,25.4265,34.974000000000004,20.3412,40.2,45.7632,45.4,40.86,42.676,64.2864,45.627,34.050000000000004,45.4227,46.081,45.7632,56.75,52.199999999999996,60.9,43.5,51.075,34.050000000000004,37.5912,0.0,0.0,0.0,0.0,0.0,0.0,0.0776,0.46,0.46,0.46,1.1500000000000001,1.5,1.25,0.5700000000000001,0.14150000000000001,0.28300000000000003,1.25,0.228
9,49.796,82.6,82.6,0.9099999999999999,47.082,42.48,59.0,65.60799999999999,59.0,34.809999999999995,28.7684,35.4,28.32,20.93,20.93,33.629999999999995,37.878,35.4,27.258,47.199999999999996,35.989999999999995,32.096,28.284599999999998,30.737999999999996,49.349999999999994,35.25,19.0914,35.25,47.3416,15.862499999999999,9.531599999999997,28.199999999999996,11.209499999999998,2.36,35.4,25.619699999999995,40.6926,32.4736,87.202,35.4,28.199999999999996,54.397999999999996,29.468999999999998,56.876,34.56896999999999,34.56896999999999,34.56896999999999,57.860119999999995,57.860119999999995,57.860119999999995,57.860119999999995,18.997999999999998,35.4,40.167199999999994,47.1528,58.763999999999996,54.87,41.3,41.064,28.199999999999996,47.199999999999996,59.0,23.599999999999998,29.3112,29.3112,47.199999999999996,28.32,3.6036,46.492,31.86,29.854,41.064,23.8832,47.199999999999996,28.425599999999996,28.199999999999996,25.38,26.508,39.9312,28.340999999999998,21.15,28.214099999999995,28.622999999999998,28.425599999999996,35.25,41.1,47.95,34.25,31.724999999999998,21.15,23.349599999999995,7.590000000000001,0.99,7.590000000000001,7.590000000000001,0.45870000000000005,1.3431000000000002,1.1252,6.67,6.67,6.67,11.27,14.700000000000001,12.25,5.586,1.3867,2.7734,12.25,4.788
10,61.400999999999996,101.85,101.85,3.4699999999999998,58.0545,52.379999999999995,72.75,80.898,72.75,42.9225,35.4729,43.65,34.919999999999995,79.80999999999999,79.80999999999999,41.467499999999994,46.705499999999994,43.65,33.610499999999995,58.199999999999996,44.3775,39.576,10.6318,11.554,18.55,13.25,7.1762,13.25,58.374599999999994,5.9624999999999995,3.5827999999999998,10.6,4.2135,2.9099999999999997,43.65,9.630099999999999,15.295800000000002,40.041599999999995,107.52449999999999,43.65,10.6,67.07549999999999,11.077,70.131,12.99401,12.99401,12.99401,71.34446999999999,71.34446999999999,71.34446999999999,71.34446999999999,23.4255,43.65,49.52819999999999,58.141799999999996,72.45899999999999,67.6575,50.925,50.63399999999999,10.6,58.199999999999996,72.75,29.099999999999998,36.142199999999995,36.142199999999995,58.199999999999996,34.919999999999995,13.7412,57.327,39.285,36.811499999999995,50.63399999999999,29.449199999999998,58.199999999999996,10.6848,10.6,9.54,9.964,15.009599999999999,10.653,7.95,10.6053,10.759,10.6848,13.25,31.5,36.75,26.25,11.924999999999999,7.95,8.7768,17.25,2.25,17.25,17.25,1.0425,3.0525,2.5996,15.41,15.41,15.41,19.779999999999998,25.799999999999997,21.5,9.803999999999998,2.4337999999999997,4.8675999999999995,21.5,8.208
11,52.961,87.85,87.85,3.99,50.0745,45.18,62.75,69.778,62.75,37.0225,30.5969,37.65,30.12,91.77000000000001,91.77000000000001,35.7675,40.2855,37.65,28.9905,50.2,38.2775,34.136,8.024,8.72,14.0,10.0,5.416,10.0,50.3506,4.5,2.7039999999999997,8.0,3.18,2.51,37.65,7.268,11.544,34.5376,92.7445,37.65,8.0,57.8555,8.36,60.491,9.806799999999999,9.806799999999999,9.806799999999999,61.53767,61.53767,61.53767,61.53767,20.2055,37.65,42.7202,50.149800000000006,62.499,58.3575,43.925,43.674,8.0,50.2,62.75,25.1,31.174200000000003,31.174200000000003,50.2,30.12,15.800400000000002,49.447,33.885,31.7515,43.674,25.4012,50.2,8.064,8.0,7.2,7.5200000000000005,11.328,8.040000000000001,6.0,8.004,8.120000000000001,8.064,10.0,36.9,43.05,30.75,9.0,6.0,6.624,36.34,4.74,36.34,36.34,2.1962,6.4306,3.5307999999999997,20.93,20.93,20.93,38.18,49.800000000000004,41.5,18.924,4.6978,9.3956,41.5,12.882
12,44.521,73.85,73.85,5.08,42.0945,37.98,52.75,58.658,52.75,31.1225,25.7209,31.65,25.32,116.84,116.84,30.0675,33.8655,31.65,24.3705,42.199999999999996,32.1775,28.695999999999998,2.4072,2.616,4.2,3.0,1.6248,3.0,42.3266,1.35,0.8111999999999999,2.4,0.9540000000000001,2.11,31.65,2.1804,3.4632000000000005,29.033599999999996,77.9645,31.65,2.4,48.6355,2.508,50.851,2.94204,2.94204,2.94204,51.730869999999996,51.730869999999996,51.730869999999996,51.730869999999996,16.9855,31.65,35.9122,42.1578,52.539,49.0575,36.925,36.714,2.4,42.199999999999996,52.75,21.099999999999998,26.2062,26.2062,42.199999999999996,25.32,20.1168,41.567,28.485,26.691499999999998,36.714,21.3532,42.199999999999996,2.4192,2.4,2.16,2.2560000000000002,3.3984,2.412,1.8,2.4012,2.436,2.4192,3.0,30.3,35.35,25.25,2.7,1.8,1.9872,34.269999999999996,4.47,34.269999999999996,34.269999999999996,2.0711,6.0643,5.3544,31.740000000000002,31.740000000000002,31.740000000000002,35.65,46.5,38.75,17.669999999999998,4.3865,8.773,38.75,18.240000000000002
13,35.237,58.45,58.45,6.28,33.316500000000005,30.060000000000002,41.75,46.426,41.75,24.6325,20.357300000000002,25.05,20.040000000000003,144.44,144.44,23.797500000000003,26.803500000000003,25.05,19.288500000000003,33.4,25.4675,22.712,0.4012,0.436,0.7000000000000001,0.5,0.27080000000000004,0.5,33.5002,0.225,0.1352,0.4,0.159,1.6700000000000002,25.05,0.3634,0.5772,22.9792,61.706500000000005,25.05,0.4,38.493500000000004,0.418,40.247,0.49034,0.49034,0.49034,40.94339,40.94339,40.94339,40.94339,13.4435,25.05,28.4234,33.366600000000005,41.583000000000006,38.8275,29.225,29.058000000000003,0.4,33.4,41.75,16.7,20.741400000000002,20.741400000000002,33.4,20.040000000000003,24.8688,32.899,22.545,21.125500000000002,29.058000000000003,16.9004,33.4,0.4032,0.4,0.36,0.376,0.5664,0.402,0.3,0.4002,0.406,0.4032,0.5,27.0,31.5,22.5,0.45,0.3,0.3312,38.18,4.98,38.18,38.18,2.3074000000000003,6.756200000000001,8.6136,51.06,51.06,51.06,41.629999999999995,54.3,45.25,20.634,5.1223,10.2446,45.25,20.406
14,24.898,41.3,41.3,6.45,23.541,21.24,29.5,32.803999999999995,29.5,17.404999999999998,14.3842,17.7,14.16,148.35,148.35,16.814999999999998,18.939,17.7,13.629,23.599999999999998,17.994999999999997,16.048,1.003,1.09,1.75,1.25,0.677,1.25,23.6708,0.5625,0.33799999999999997,1.0,0.3975,1.18,17.7,0.9085,1.443,16.2368,43.601,17.7,1.0,27.198999999999998,1.045,28.438,1.2258499999999999,1.2258499999999999,1.2258499999999999,28.930059999999997,28.930059999999997,28.930059999999997,28.930059999999997,9.498999999999999,17.7,20.083599999999997,23.5764,29.381999999999998,27.435,20.65,20.532,1.0,23.599999999999998,29.5,11.799999999999999,14.6556,14.6556,23.599999999999998,14.16,25.542,23.246,15.93,14.927,20.532,11.9416,23.599999999999998,1.008,1.0,0.9,0.9400000000000001,1.416,1.0050000000000001,0.75,1.0005,1.0150000000000001,1.008,1.25,27.0,31.5,22.5,1.125,0.75,0.828,36.800000000000004,4.8,36.800000000000004,36.800000000000004,2.224,6.5120000000000005,9.4284,55.89,55.89,55.89,50.83,66.3,55.25,25.194,6.254300000000001,12.508600000000001,55.25,17.442
15,17.724,29.400000000000002,29.400000000000002,5.77,16.758000000000003,15.120000000000001,21.0,23.352,21.0,12.39,10.239600000000001,12.600000000000001,10.08,132.70999999999998,132.70999999999998,11.97,13.482000000000001,12.600000000000001,9.702,16.8,12.81,11.424000000000001,4.012,4.36,7.0,5.0,2.708,5.0,16.8504,2.25,1.3519999999999999,4.0,1.59,0.8400000000000001,12.600000000000001,3.634,5.772,11.5584,31.038,12.600000000000001,4.0,19.362000000000002,4.18,20.244,4.9033999999999995,4.9033999999999995,4.9033999999999995,20.59428,20.59428,20.59428,20.59428,6.7620000000000005,12.600000000000001,14.2968,16.7832,20.916,19.53,14.700000000000001,14.616000000000001,4.0,16.8,21.0,8.4,10.4328,10.4328,16.8,10.08,22.8492,16.548000000000002,11.34,10.626000000000001,14.616000000000001,8.5008,16.8,4.032,4.0,3.6,3.7600000000000002,5.664,4.0200000000000005,3.0,4.002,4.0600000000000005,4.032,5.0,23.7,27.65,19.75,4.5,3.0,3.312,30.590000000000003,3.99,30.590000000000003,30.590000000000003,1.8487000000000002,5.413100000000001,8.419599999999999,49.91,49.91,49.91,43.7,57.0,47.5,21.66,5.377,10.754,47.5,12.654
16,12.871,21.349999999999998,21.349999999999998,4.5200000000000005,12.1695,10.98,15.25,16.958,15.25,8.9975,7.4359,9.15,7.32,103.96000000000001,103.96000000000001,8.692499999999999,9.7905,9.15,7.0455,12.2,9.3025,8.296,8.024,8.72,14.0,10.0,5.416,10.0,12.2366,4.5,2.7039999999999997,8.0,3.18,0.61,9.15,7.268,11.544,8.3936,22.5395,9.15,8.0,14.0605,8.36,14.701,9.806799999999999,9.806799999999999,9.806799999999999,14.955369999999998,14.955369999999998,14.955369999999998,14.955369999999998,4.9105,9.15,10.3822,12.187800000000001,15.189,14.1825,10.674999999999999,10.613999999999999,8.0,12.2,15.25,6.1,7.5762,7.5762,12.2,7.32,17.8992,12.017,8.235,7.7165,10.613999999999999,6.1732000000000005,12.2,8.064,8.0,7.2,7.5200000000000005,11.328,8.040000000000001,6.0,8.004,8.120000000000001,8.064,10.0,20.700000000000003,24.150000000000002,17.25,9.0,6.0,6.624,18.400000000000002,2.4,18.400000000000002,18.400000000000002,1.112,3.2560000000000002,5.470799999999999,32.43,32.43,32.43,27.83,36.3,30.25,13.794,3.4243,6.8486,30.25,8.436
17,10.761,17.849999999999998,17.849999999999998,2.49,10.1745,9.18,12.75,14.177999999999999,12.75,7.522499999999999,6.2169,7.6499999999999995,6.119999999999999,57.27,57.27,7.267499999999999,8.1855,7.6499999999999995,5.890499999999999,10.2,7.7775,6.936,10.230599999999999,11.117999999999999,17.849999999999998,12.75,6.9054,12.75,10.230599999999999,5.7375,3.4475999999999996,10.2,4.0545,0.51,7.6499999999999995,9.266699999999998,14.7186,7.017599999999999,18.8445,7.6499999999999995,10.2,11.7555,10.658999999999999,12.290999999999999,12.503669999999998,12.503669999999998,12.503669999999998,12.503669999999998,12.503669999999998,12.503669999999998,12.503669999999998,4.1055,7.6499999999999995,8.6802,10.1898,12.699,11.8575,8.924999999999999,8.873999999999999,10.2,10.2,12.75,5.1,6.3342,6.3342,10.2,6.119999999999999,9.8604,10.046999999999999,6.885,6.451499999999999,8.873999999999999,5.1612,10.2,10.2816,10.2,9.18,9.588,14.4432,10.251,7.6499999999999995,10.2051,10.353,10.2816,12.75,18.3,21.349999999999998,15.25,11.475,7.6499999999999995,8.445599999999999,6.21,0.8099999999999999,6.21,6.21,0.3753,1.0989,2.0951999999999997,12.42,12.42,12.42,11.040000000000001,14.4,12.0,5.472,1.3584,2.7168,12.0,2.736
