periods,id121 1->2,id121 2->1,id120 1->2,id120 2->1,id122 1->4,id122 4->1,id123 1->5,id123 5->1,id124 2->3,id124 3->2,id125 3->4,id125 4->3,id126 4->5,id126 5->4,id127 5->4,id127 4->5
1,130.53626968837122,-130.0617303116288,130.53626968837122,-130.0617303116288,67.96886166278,-67.82913833722,-277.8403528,278.32964719999995,161.3011194973024,-161.0208805026976,-112.19627559575339,112.5697244042466,-129.17697309264642,129.6710269073536,129.6710269073536,-129.17697309264642
2,132.6136725447968,-132.0063274552032,132.6136725447968,-132.0063274552032,79.8016489397632,-79.66435106023681,-290.22751229048004,290.82848770952,167.9642544287606,-167.7277455712394,-104.37522425016,104.83277574984,-143.94707597469116,144.48692402530887,144.48692402530887,-143.94707597469116
3,125.4571915390322,-125.0048084609678,125.4571915390322,-125.0048084609678,67.5999495894552,-67.4620504105448,-262.91440401198076,263.3655959880192,161.69832295644161,-161.4216770435584,-107.93356865286961,108.2884313471304,-125.58966474901739,126.0623352509826,126.0623352509826,-125.58966474901739
4,126.2737758565522,-125.8522241434478,126.2737758565522,-125.8522241434478,79.24000078571521,-79.1019992142848,-278.38743858726076,278.8165614127392,169.6673441195766,-169.3806558804234,-99.71262238959339,100.0473776104066,-140.84084777839035,141.30315222160965,141.30315222160965,-140.84084777839035
5,125.94594401240644,-125.39205598759355,125.94594401240644,-125.39205598759355,79.68641623511999,-79.54958376488,-281.1788123670752,281.7451876329248,171.4478701676544,-171.20012983234562,-99.49287068679034,99.91512931320965,-141.88420637071874,142.40779362928123,142.40779362928123,-141.88420637071874
6,127.32036458063806,-126.72963541936195,127.32036458063806,-126.72963541936195,69.059595222,-68.91840477800001,-278.0994359967232,278.7245640032768,165.8543812506966,-165.60361874930342,-109.6079403553934,110.05605964460659,-130.32986109575637,130.88813890424365,130.88813890424365,-130.32986109575637
7,136.5254256834568,-136.00657431654318,136.5254256834568,-136.00657431654318,71.6065128699992,-71.4514871300008,-304.65686398066885,305.2451360193312,170.30717385275761,-169.9948261472424,-117.37863621979315,117.78736378020685,-138.6434479014814,139.2125520985186,139.2125520985186,-138.6434479014814
8,139.48426980161778,-138.9317301983822,139.48426980161778,-138.9317301983822,73.92647657170879,-73.7615234282912,-312.6936656019328,313.3243343980672,174.9007733335896,-174.5752266664104,-119.44970699211235,119.88029300788766,-142.73014969724235,143.33785030275763,143.33785030275763,-142.73014969724235
9,144.1497660761938,-143.5862339238062,144.1497660761938,-143.5862339238062,84.73616880088001,-84.55183119912,-303.0867450947072,303.6292549052928,175.409761329615,-175.092238670385,-113.00399856610915,113.40800143389086,-151.7076891469304,152.31031085306958,152.31031085306958,-151.7076891469304
10,146.86007061326418,-146.2899293867358,146.86007061326418,-146.2899293867358,87.5853670201368,-87.35263297986319,-236.35648044876478,236.6875195512352,168.5149087872864,-168.1990912127136,-110.19773114173235,110.54026885826765,-140.2138638042336,140.7841361957664,140.7841361957664,-140.2138638042336
11,134.20978164217405,-133.70821835782596,134.20978164217405,-133.70821835782596,88.6187356312728,-88.3812643687272,-207.0886869057408,207.3593130942592,170.9233607511846,-170.6086392488154,-98.11134275969036,98.39665724030965,-134.97025213002436,135.50974786997566,135.50974786997566,-134.97025213002436
12,145.72266057590807,-145.24733942409196,145.72266057590807,-145.24733942409196,86.9121588421592,-86.61384115784081,-209.15750431872,209.38849568128,140.50245781373042,-140.2255421862696,-99.78623304360875,99.97576695639125,-133.6031543317934,134.2048456682066,134.2048456682066,-133.6031543317934
13,128.19832457820124,-127.86167542179875,128.19832457820124,-127.86167542179875,84.2853760016768,-84.06662399832321,-150.2808943928192,150.3631056071808,112.88382568246,-112.71217431754,-75.9318547436814,76.04814525631859,-118.36820804687501,118.735791953125,118.735791953125,-118.36820804687501
14,126.28612164416005,-125.94987835583994,126.28612164416005,-125.94987835583994,89.8720374423448,-89.5859625576552,-157.59413928248,157.70386071752,114.45113687206,-114.26486312794,-69.02390889543715,69.10409110456284,-125.5745643925496,126.0574356074504,126.0574356074504,-125.5745643925496
15,133.72748018383606,-133.20451981616395,133.72748018383606,-133.20451981616395,84.4287011504472,-84.1492988495528,-190.8350061090528,191.1109938909472,118.80769931104,-118.63830068896,-83.08613043649841,83.2598695635016,-127.12485451863435,127.73114548136564,127.73114548136564,-127.12485451863435
16,133.21536459360718,-132.6966354063928,133.21536459360718,-132.6966354063928,84.3444011266912,-84.0655988733088,-225.5761271705472,225.9518728294528,150.8123658504664,-150.5456341495336,-94.28185465930436,94.51014534069564,-134.5048227929144,135.1751772070856,135.1751772070856,-134.5048227929144
17,148.60652549603222,-147.9794745039678,148.60652549603222,-147.9794745039678,81.6315612277088,-81.43043877229121,-306.3951227590368,307.0008772409632,172.8167946641606,-172.49920533583938,-119.42059969611034,119.85140030388965,-149.210876742875,149.875123257125,149.875123257125,-149.210876742875
