periods,bess 11,bess 12
1.0,65.0,30.574
2.0,110.0,48.573
3.0,155.0,79.327
4.0,191.818,121.56
5.0,198.512,166.56
6.0,199.73,193.92
7.0,199.951,198.895
8.0,190.784,198.895
9.0,198.324,199.698
10.0,199.695,199.945
11.0,199.945,199.99
12.0,199.99,199.99
13.0,199.99,199.99
14.0,199.99,199.99
15.0,199.99,199.99
16.0,199.99,199.99
17.0,190.981,199.99
18.0,135.426,165.744
19.0,108.045,110.188
20.0,89.308,54.632
21.0,57.037,27.451
22.0,20.0,20.0
23.0,20.0,20.0
24.0,20.0,20.0
