periods,id121 1-2,id120 1-2,id122 1-4,id123 1-5,id124 2-3,id125 3-4,id126 4-5,id127 5-4
1,0.6180835564100001,0.6180835564100001,0.13673459002240002,0.6249440012544001,0.23592107953080002,0.4671787891617,0.5491938757833,0.5491938757833
2,0.6202943105625,0.6202943105625,0.16111070979040004,0.6356409100864001,0.2465803317708,0.43485207491879996,0.6024694146371999,0.6024694146371999
3,0.4615132854416001,0.4615132854416001,0.1903224642304,0.5011759780416,0.30482645764320004,0.3050972094852,0.5929054564257,0.5929054564257
4,0.5698850876100001,0.5698850876100001,0.1588348955056,0.5903111655424,0.2521005669612,0.40178207817,0.5773978117017001,0.5773978117017001
5,0.5512400525601001,0.5512400525601001,0.18492988876000005,0.6060104745984001,0.27604816875,0.3647346849828,0.6343172796708,0.6343172796708
6,0.4921845304196001,0.4921845304196001,0.19200028303359998,0.57050277904,0.3108324585708,0.3309570745668,0.6303390337233,0.6303390337233
7,0.5268162128049001,0.5268162128049001,0.16350079329760003,0.6039129311296,0.3150165531852,0.40369117326119996,0.5926453117199999,0.5926453117199999
8,0.5525396032356001,0.5525396032356001,0.16495314341760003,0.6306687961344,0.3255466671792,0.4305860157753,0.6077006055153,0.6077006055153
9,0.5780536516449,0.5780536516449,0.18568940236000003,0.5571790295296,0.3136715073072,0.41126095719720007,0.6122633984577001,0.6122633984577001
10,0.5727860159503999,0.5727860159503999,0.23301075299040008,0.33311214184960003,0.31511985363,0.34374443570279994,0.5719692253572,0.5719692253572
11,0.50200637636,0.50200637636,0.2375196281856,0.2709658378816,0.3145961476332,0.2855124620073,0.5398000014825001,0.5398000014825001
12,0.45180567018810003,0.45180567018810003,0.23204297774560004,0.18882717327360002,0.25483382871480004,0.2217195764388,0.47481608591999996,0.47481608591999996
13,0.3366491564025,0.3366491564025,0.21875200335360007,0.08221121436159999,0.17165136491999997,0.11629051263719999,0.36758390625000004,0.36758390625000004
14,0.31650651089000004,0.31650651089000004,0.22126056225760002,0.0813228811264,0.1682454776652,0.1015574445072,0.3699932443812,0.3699932443812
15,0.3703632835025001,0.3703632835025001,0.21914931436000004,0.15072767549440003,0.18819915892920003,0.14435566464330002,0.4275089451072,0.4275089451072
16,0.4941426273561001,0.4941426273561001,0.2148651644464,0.32138449984,0.24506826230519999,0.26349115617,0.5360188570308001,0.5360188570308001
17,0.6270509920644001,0.6270509920644001,0.2011224554176,0.6057544819264,0.3175893283212,0.4308006077793,0.66424651425,0.66424651425
18,0.5458926416400001,0.5458926416400001,0.13006145334240005,0.6789985177600002,0.34967898551519994,0.5046595668873001,0.5585791741199999,0.5585791741199999
19,0.49163428375039997,0.49163428375039997,0.14102889295840004,0.6629842223104,0.36020436346080004,0.44089607232,0.5744283291648,0.5744283291648
20,0.5620210125056001,0.5620210125056001,0.10236789116640002,0.7237305170176002,0.28853527753079994,0.5320601755425,0.5164035026336999,0.5164035026336999
21,0.45930480710810007,0.45930480710810007,0.13940611672960004,0.6652974200895999,0.3285536982192,0.3932744859648,0.5721093679257,0.5721093679257
22,0.5541800048036001,0.5541800048036001,0.09945698060160002,0.7288574469696,0.25500307248,0.5034601203588001,0.5117614510833,0.5117614510833
23,0.5302152047376001,0.5302152047376001,0.10754402751360001,0.7148393627904001,0.25361759409119994,0.46263799486080004,0.5245498944872999,0.5245498944872999
24,0.4989537724528999,0.4989537724528999,0.12012193984000001,0.6942887724096002,0.26274456674999996,0.41670999020969995,0.5438275075233,0.5438275075233
