periods,bess 11,bess 12
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,0.0,0.0
6.0,0.0,0.0
7.0,0.0,0.0
8.0,8.25,0.0
9.0,0.0,0.0
10.0,0.0,0.0
11.0,0.0,0.0
12.0,0.0,0.0
13.0,0.0,0.0
14.0,0.0,0.0
15.0,0.0,0.0
16.0,0.0,0.0
17.0,8.108,0.0
18.0,50.0,30.822
19.0,24.643,50.0
20.0,16.863,50.0
21.0,29.044,24.463
22.0,33.333,6.706
23.0,0.0,0.0
24.0,0.0,0.0
